#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2009 01 02 19 50 306  3.5  4.8  1.75 10.00  7.38 263 1010.7   2.7   7.6 999.0 99.0 99.00
2009 01 02 20 20 306  4.3  5.7 99.00 99.00 99.00 999 1011.0   2.9   7.6 999.0 99.0 99.00
2009 01 02 20 50 302  5.0  6.5  1.53  9.09  6.97 270 1011.0   3.6   7.6 999.0 99.0 99.00
2009 01 02 21 20 310  5.8  7.4 99.00 99.00 99.00 999 1011.3   3.7   7.6 999.0 99.0 99.00
2009 01 02 21 50 324  4.8  6.7  1.69 10.00  7.12 280 1011.5   3.8   7.6 999.0 99.0 99.00
2009 01 02 22 20 326  4.8  6.2 99.00 99.00 99.00 999 1011.6   3.9   7.8 999.0 99.0 99.00
2009 01 02 22 50 348  2.2  3.1  1.63  9.09  7.01 265 1012.0   3.9   7.9 999.0 99.0 99.00
2009 01 02 23 20 311  4.8  6.1 99.00 99.00 99.00 999 1012.3   4.2   8.0 999.0 99.0 99.00
2009 01 02 23 50 316  3.8  5.3  1.57  9.09  6.94 262 1012.7   4.0   8.0 999.0 99.0 99.00
2009 01 03 00 20 339  3.9  5.0 99.00 99.00 99.00 999 1012.9   4.1   7.9 999.0 99.0 99.00
2009 01 03 00 50 333  3.5  5.0  1.51  9.09  6.63 245 1013.2   4.2   7.8 999.0 99.0 99.00
2009 01 03 01 20  43  2.2  4.1 99.00 99.00 99.00 999 1013.7   4.0   7.7 999.0 99.0 99.00
2009 01 03 01 50  68  1.8  3.2  1.85  9.09  7.07 245 1014.0   3.9   7.6 999.0 99.0 99.00
2009 01 03 02 20 102  3.7  4.6 99.00 99.00 99.00 999 1014.1   3.6   7.5 999.0 99.0 99.00
2009 01 03 02 50 220  5.3  6.6  1.68  9.09  6.43 239 1014.6   3.2   7.5 999.0 99.0 99.00
2009 01 03 03 20 252  4.7  7.0 99.00 99.00 99.00 999 1015.1   1.5   7.4 999.0 99.0 99.00
2009 01 03 03 50 176  2.4  3.1  1.64  9.09  6.31 230 1015.3   1.8   7.3 999.0 99.0 99.00
2009 01 03 04 20 150  2.8  3.9 99.00 99.00 99.00 999 1015.6   2.0   7.2 999.0 99.0 99.00
